epoch,accuracy,loss,val_accuracy,val_loss
0,0.6943128108978271,0.7397705316543579,0.6409037113189697,0.9448220133781433
1,0.7793246507644653,0.5616690516471863,0.7502972483634949,0.642755925655365
2,0.8302724957466125,0.4514218270778656,0.7372176051139832,0.6556214094161987
3,0.8376777172088623,0.4302874803543091,0.72651606798172,0.6924724578857422
4,0.8545616269111633,0.39703285694122314,0.7455410361289978,0.6267723441123962
5,0.8498222827911377,0.38897427916526794,0.7134363651275635,0.7805995345115662
6,0.862263023853302,0.36594337224960327,0.770511269569397,0.5686990022659302
7,0.8761848211288452,0.33827805519104004,0.7586206793785095,0.5865816473960876
8,0.8747037649154663,0.34185591340065,0.7681331634521484,0.5681896209716797
9,0.8862559199333191,0.31824424862861633,0.7598097324371338,0.5939496755599976
10,0.8880331516265869,0.30316242575645447,0.6765754818916321,0.7826694250106812
11,0.8948459625244141,0.30145660042762756,0.7538644671440125,0.5873605608940125
12,0.8838862776756287,0.3062380254268646,0.7324613332748413,0.6409275531768799
13,0.8901066184043884,0.28263944387435913,0.7740784883499146,0.5342891216278076
14,0.896327018737793,0.28244176506996155,0.7728894352912903,0.5233989357948303
15,0.9016587734222412,0.28123849630355835,0.7395957112312317,0.6059102416038513
16,0.8978080749511719,0.28264522552490234,0.7693222165107727,0.5740647912025452
17,0.8951421976089478,0.2761017978191376,0.717003583908081,0.6890811324119568
18,0.9063981175422668,0.25612345337867737,0.8002378344535828,0.49779900908470154
19,0.9046208262443542,0.2664352357387543,0.7229488492012024,0.6271629333496094
20,0.9058057069778442,0.256083220243454,0.7871581315994263,0.49058324098587036
21,0.8989928960800171,0.2662655711174011,0.7598097324371338,0.6374384164810181
22,0.9063981175422668,0.26392289996147156,0.7384066581726074,0.6555321216583252
23,0.9102488160133362,0.24017971754074097,0.7883471846580505,0.4831555187702179
24,0.9087677597999573,0.2406643182039261,0.6944113969802856,0.6722371578216553
25,0.9096564054489136,0.24317125976085663,0.7657550573348999,0.5652878880500793
26,0.9099525809288025,0.24338263273239136,0.7205707430839539,0.6658552289009094
27,0.9158768057823181,0.23016470670700073,0.7288941740989685,0.6155095100402832
28,0.9108412265777588,0.24147753417491913,0.7348394989967346,0.6157028675079346
29,0.9143957495689392,0.24062341451644897,0.7277051210403442,0.6150402426719666
